key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
#,ClassJobCategory,Reward{Item}[0],Reward{Item}[1],Reward{Item}[2],Reward{Item}[3],Reward{Amount}[0],Reward{Amount}[1],Reward{Amount}[2],Reward{Amount}[3],Required{Item}[0],Required{Item}[1],Required{Item}[2],Required{Item}[3],Required{Amount}[0],Required{Amount}[1],Required{Amount}[2],Required{Amount}[3],,,,,,,,
int32,ClassJobCategory,Item,Item,Item,Item,byte,byte,byte,byte,Item,Item,Item,Item,byte,byte,byte,byte,bool,bool,bool,bool,bool,bool,bool,bool
0.0,"","","","","",0,0,0,0,"","","","",0,0,0,0,False,False,False,False,False,False,False,False
1.0,"","","","","",0,0,0,0,"","","","",0,0,0,0,False,False,False,False,False,False,False,False
1.1,"","","","","",0,0,0,0,"","","","",0,0,0,0,False,False,False,False,False,False,False,False
2.0,"","","","","",0,0,0,0,"","","","",0,0,0,0,False,False,False,False,False,False,False,False
2.1,"","","","","",0,0,0,0,"","","","",0,0,0,0,False,False,False,False,False,False,False,False
2.2,"","","","","",0,0,0,0,"","","","",0,0,0,0,False,False,False,False,False,False,False,False
3.0,"PLD","Animated Hauteclaire","Animated Prytwen","","",1,1,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.1,"MNK","Animated Rising Suns","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.2,"WAR","Animated Parashu","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.3,"DRG","Animated Brionac","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.4,"BRD","Animated Berimbau","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.5,"WHM","Animated Seraph Cane","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.6,"BLM","Animated Lunaris Rod","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.7,"SMN","Animated Almandal","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.8,"SCH","Animated Elements","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.9,"NIN","Animated Yukimitsu","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.10,"DRK","Animated Deathbringer","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.11,"MCH","Animated Ferdinand","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
3.12,"AST","Animated Atlas","","","",1,0,0,0,"","","","",0,0,0,0,False,False,False,False,True,True,True,True
4.0,"PLD","Hauteclaire Awoken","Prytwen Awoken","","",1,1,0,0,"Animated Hauteclaire","Animated Prytwen","","",1,1,0,0,True,True,False,False,True,True,True,True
4.1,"MNK","Rising Suns Awoken","","","",1,0,0,0,"Animated Rising Suns","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.2,"WAR","Parashu Awoken","","","",1,0,0,0,"Animated Parashu","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.3,"DRG","Brionac Awoken","","","",1,0,0,0,"Animated Brionac","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.4,"BRD","Berimbau Awoken","","","",1,0,0,0,"Animated Berimbau","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.5,"WHM","Seraph Cane Awoken","","","",1,0,0,0,"Animated Seraph Cane","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.6,"BLM","Lunaris Rod Awoken","","","",1,0,0,0,"Animated Lunaris Rod","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.7,"SMN","Almandal Awoken","","","",1,0,0,0,"Animated Almandal","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.8,"SCH","Elements Awoken","","","",1,0,0,0,"Animated Elements","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.9,"NIN","Yukimitsu Awoken","","","",1,0,0,0,"Animated Yukimitsu","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.10,"DRK","Deathbringer Awoken","","","",1,0,0,0,"Animated Deathbringer","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.11,"MCH","Ferdinand Awoken","","","",1,0,0,0,"Animated Ferdinand","","","",1,0,0,0,True,False,False,False,True,True,True,True
4.12,"AST","Atlas Awoken","","","",1,0,0,0,"Animated Atlas","","","",1,0,0,0,True,False,False,False,True,True,True,True
5.0,"PLD","Almace","Ancile","","",1,1,0,0,"Hauteclaire Awoken","Prytwen Awoken","","",1,1,0,0,False,False,False,False,True,True,True,True
5.1,"MNK","Verethragna","","","",1,0,0,0,"Rising Suns Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.2,"WAR","Ukonvasara","","","",1,0,0,0,"Parashu Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.3,"DRG","Rhongomiant","","","",1,0,0,0,"Brionac Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.4,"BRD","Gandiva","","","",1,0,0,0,"Berimbau Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.5,"WHM","Majestas","","","",1,0,0,0,"Seraph Cane Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.6,"BLM","Hvergelmir","","","",1,0,0,0,"Lunaris Rod Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.7,"SMN","Draconomicon","","","",1,0,0,0,"Almandal Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.8,"SCH","Tetrabiblos","","","",1,0,0,0,"Elements Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.9,"NIN","Kannagi","","","",1,0,0,0,"Yukimitsu Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.10,"DRK","Nothung","","","",1,0,0,0,"Deathbringer Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.11,"MCH","Armageddon","","","",1,0,0,0,"Ferdinand Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
5.12,"AST","Deneb","","","",1,0,0,0,"Atlas Awoken","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.0,"PLD","Hyperconductive Almace","Hyperconductive Ancile","","",1,1,0,0,"Almace","Ancile","","",1,1,0,0,False,False,False,False,True,True,True,True
6.1,"MNK","Hyperconductive Verethragna","","","",1,0,0,0,"Verethragna","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.2,"WAR","Hyperconductive Ukonvasara","","","",1,0,0,0,"Ukonvasara","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.3,"DRG","Hyperconductive Rhongomiant","","","",1,0,0,0,"Rhongomiant","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.4,"BRD","Hyperconductive Gandiva","","","",1,0,0,0,"Gandiva","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.5,"WHM","Hyperconductive Majestas","","","",1,0,0,0,"Majestas","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.6,"BLM","Hyperconductive Hvergelmir","","","",1,0,0,0,"Hvergelmir","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.7,"SMN","Hyperconductive Draconomicon","","","",1,0,0,0,"Draconomicon","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.8,"SCH","Hyperconductive Tetrabiblos","","","",1,0,0,0,"Tetrabiblos","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.9,"NIN","Hyperconductive Kannagi","","","",1,0,0,0,"Kannagi","","","",1,0,0,0,False,False,False,False,True,True,True,True
6.10,"DRK","Hyperconductive Nothung","","","",1,0,0,0,"Nothung","","","",1,0,0,0,False,False,False,False,True,True,True,True
